id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
bitcoin,btc,Bitcoin,28418,5.28407E+11,40888752310,1,2020/12/31,1,https://www.coingecko.com/en/coins/bitcoin
ethereum,eth,Ethereum,732,83477111153,16952643600,0,2020/12/31,2,https://www.coingecko.com/en/coins/ethereum
tether,usdt,Tether,1,20963308341,53105193641,0,2020/12/31,3,https://www.coingecko.com/en/coins/tether
ripple,xrp,XRP,0,9897341041,4964359633,-6,2020/12/31,4,https://www.coingecko.com/en/coins/ripple
litecoin,ltc,Litecoin,125,8261869977,5100255514,0,2020/12/31,5,https://www.coingecko.com/en/coins/litecoin
polkadot,dot,Polkadot,8,7576300357,1326061765,10,2020/12/31,6,https://www.coingecko.com/en/coins/polkadot
bitcoin-cash,bch,Bitcoin Cash,340,6342007841,3860544256,-2,2020/12/31,7,https://www.coingecko.com/en/coins/bitcoin-cash
cardano,ada,Cardano,0,5574030993,1194232879,-1,2020/12/31,8,https://www.coingecko.com/en/coins/cardano
binancecoin,bnb,Binance Coin,37,5512050874,511130224,0,2020/12/31,9,https://www.coingecko.com/en/coins/binancecoin
chainlink,link,Chainlink,11,4535936948,936315584,0,2020/12/31,10,https://www.coingecko.com/en/coins/chainlink
usd-coin,usdc,USD Coin,1,3805930727,1140838043,0,2020/12/31,11,https://www.coingecko.com/en/coins/usd-coin
wrapped-bitcoin,wbtc,Wrapped Bitcoin,28599,3227627699,176824059,1,2020/12/31,12,https://www.coingecko.com/en/coins/wrapped-bitcoin
bitcoin-cash-sv,bsv,Bitcoin SV,161,3002688167,506654196,-1,2020/12/31,13,https://www.coingecko.com/en/coins/bitcoin-cash-sv
monero,xmr,Monero,157,2806372722,423508403,-2,2020/12/31,14,https://www.coingecko.com/en/coins/monero
stellar,xlm,Stellar,0,2765273887,519921392,-9,2020/12/31,15,https://www.coingecko.com/en/coins/stellar
eos,eos,EOS,2,2430379402,1804887066,0,2020/12/31,16,https://www.coingecko.com/en/coins/eos
okb,okb,OKB,7,2076145217,166235449,1,2020/12/31,17,https://www.coingecko.com/en/coins/okb
celsius-degree-token,cel,Celsius Network,5,2055144124,21753529,-3,2020/12/31,18,https://www.coingecko.com/en/coins/celsius-degree-token
tron,trx,TRON,0,1901695766,912175186,-1,2020/12/31,19,https://www.coingecko.com/en/coins/tron
theta-token,theta,Theta Network,1,1726114958,162464635,16,2020/12/31,20,https://www.coingecko.com/en/coins/theta-token
nem,xem,NEM,0,1628555328,166934353,-15,2020/12/31,21,https://www.coingecko.com/en/coins/nem
tezos,xtz,Tezos,2,1523887682,101453465,0,2020/12/31,22,https://www.coingecko.com/en/coins/tezos
cosmos,atom,Cosmos,5,1375496534,404581889,3,2020/12/31,23,https://www.coingecko.com/en/coins/cosmos
leo-token,leo,LEO Token,1,1346288683,1883701,2,2020/12/31,24,https://www.coingecko.com/en/coins/leo-token
crypto-com-chain,cro,Crypto.com Coin,0,1291452463,39660240,-1,2020/12/31,25,https://www.coingecko.com/en/coins/crypto-com-chain
vechain,vet,VeChain,0,1223741655,231617598,-3,2020/12/31,26,https://www.coingecko.com/en/coins/vechain
cdai,cdai,cDAI,0,1177511011,6077255,0,2020/12/31,27,https://www.coingecko.com/en/coins/cdai
dai,dai,Dai,0,1162571370,371918521,0,2020/12/31,28,https://www.coingecko.com/en/coins/dai
aave,aave,Aave,85,1036551356,207246992,7,2020/12/31,29,https://www.coingecko.com/en/coins/aave
havven,snx,Synthetix Network Token,7,1025770808,109514376,1,2020/12/31,30,https://www.coingecko.com/en/coins/havven
uniswap,uni,Uniswap,4,998165630,684316508,22,2020/12/31,31,https://www.coingecko.com/en/coins/uniswap
neo,neo,NEO,14,995934204,294793308,-4,2020/12/31,32,https://www.coingecko.com/en/coins/neo
huobi-token,ht,Huobi Token,4,992496439,112003196,-1,2020/12/31,33,https://www.coingecko.com/en/coins/huobi-token
dash,dash,Dash,98,974169229,466063548,-3,2020/12/31,34,https://www.coingecko.com/en/coins/dash
filecoin,fil,Filecoin,21,970140864,94345259,1,2020/12/31,35,https://www.coingecko.com/en/coins/filecoin
binance-usd,busd,Binance USD,1,923042610,1272639808,0,2020/12/31,36,https://www.coingecko.com/en/coins/binance-usd
zilliqa,zil,Zilliqa,0,887214063,500614646,2,2020/12/31,37,https://www.coingecko.com/en/coins/zilliqa
compound-ether,ceth,cETH,14,854380488,32893973,0,2020/12/31,38,https://www.coingecko.com/en/coins/compound-ether
iota,miota,IOTA,0,797795799,24816068,-3,2020/12/31,39,https://www.coingecko.com/en/coins/iota
compound-usd-coin,cusdc,cUSDC,0,736191256,2845609,0,2020/12/31,40,https://www.coingecko.com/en/coins/compound-usd-coin
zcash,zec,Zcash,62,674039629,407350258,-2,2020/12/31,41,https://www.coingecko.com/en/coins/zcash
yearn-finance,yfi,yearn.finance,22386,668487530,398530814,2,2020/12/31,42,https://www.coingecko.com/en/coins/yearn-finance
ethereum-classic,etc,Ethereum Classic,5,658030168,840444469,0,2020/12/31,43,https://www.coingecko.com/en/coins/ethereum-classic
waves,waves,Waves,6,624138822,104545497,-7,2020/12/31,44,https://www.coingecko.com/en/coins/waves
kusama,ksm,Kusama,66,596700581,142017617,7,2020/12/31,45,https://www.coingecko.com/en/coins/kusama
compound-governance-token,comp,Compound,144,595459152,68270073,-4,2020/12/31,46,https://www.coingecko.com/en/coins/compound-governance-token
dogecoin,doge,Dogecoin,0,587181821,135782827,0,2020/12/31,47,https://www.coingecko.com/en/coins/dogecoin
ftx-token,ftt,FTX Token,5,513916714,13165866,0,2020/12/31,48,https://www.coingecko.com/en/coins/ftx-token
decred,dcr,Decred,41,511056068,16949157,13,2020/12/31,49,https://www.coingecko.com/en/coins/decred
maker,mkr,Maker,561,509068507,37708239,0,2020/12/31,50,https://www.coingecko.com/en/coins/maker
empty-set-dollar,esd,Empty Set Dollar,0,470121065,9613596,8,2020/12/31,51,https://www.coingecko.com/en/coins/empty-set-dollar
the-graph,grt,The Graph,0,436679263,201448735,-4,2020/12/31,52,https://www.coingecko.com/en/coins/the-graph
uma,uma,UMA,7,425752208,10904827,-3,2020/12/31,53,https://www.coingecko.com/en/coins/uma
renbtc,renbtc,renBTC,28467,373536580,11769085,0,2020/12/31,54,https://www.coingecko.com/en/coins/renbtc
blockstack,stx,Blockstack,0,361591530,7071430,0,2020/12/31,55,https://www.coingecko.com/en/coins/blockstack
elrond-erd-2,egld,Elrond,23,358552853,29584147,-3,2020/12/31,56,https://www.coingecko.com/en/coins/elrond-erd-2
